年份,GDP(亿元),GDP增长率（%）,人均GDP(元/人)
1978,3645.2,0,381
1979,4062.6,7.6,419
1980,4545.6,7.8,463
1981,4891.6,5.3,492
1982,5323.4,9,528
1983,5962.7,10.9,583
1984,7208.1,15.2,695
1985,9016.2,13.5,858
1986,10275.2,8.9,963
1987,12058.6,11.6,1112
1988,15042.8,11.3,1366
1989,16992.3,4.1,1519
1990,18667.8,3.8,1644
1991,21781.5,9.2,1893
1992,26923.5,14.2,2311
1993,35333.9,14,2998
1994,48197.9,13.1,4044
1995,60793.7,10.9,5046
1996,71176.6,10,5846
1997,78973,9.3,6420
1998,84402.3,7.8,6796
1999,89677.1,7.6,7159
2000,99214.6,8.4,7858
2001,109655.2,8.3,8622
2002,120332.7,9.1,9398
2003,135822.8,10,10542
2004,159878.3,10.1,12336
2005,183084.8,10.2,14040
2006,211923.8,11.6,16024
2007,249530.6,11.9,18868
2008,300670,9,23128
2009,340507,9.1,25608
2010,397980,10.3,30015
2011,471564,9.2,36403
2012,519322,7.8,40007
2013,568845,7.7,43852
2014,636463,7.4,47203
2015,677000,6.9,50251
2016,744127,6.7,53935
2017,827121,6.8,60989
2018,900309,6.6,65484
2019,990865,6.1,70892
2020,1015986,2.3,72447
